"HEADER_START"
"Test Machine ID","2004099"
"Test Operation Number","0"
"Test Date","11/09/2024"
"Test Operator ID","2410065"
"Test Start Time","10:46:40"
"Material Number","1804533001"
"Production Order","20240723"
"Serial Number","S184024"
"Specification Version","sherpa-140_v1.0.ini"
"Configuration Version","v1.0"
"Test Software Version","v1.0"
"Test Software Start Time","11/09/2024 10:46:40"
"Test Type","P-knuckle torque RD sherpa140"
"HEADER_END"
"BODY_START"
"S184024","DamperTorque","Torque CW(Pull)","90.0 degree","4.405","N-m","90.0","PASS","TwoSided","5.0","3.8000000000000003"
"S184024","DamperTorque","Torque CW(Pull)","170.0 degree","5.524","N-m","170.0","PASS","TwoSided","6.3","6.3"
"S184024","DamperTorque","Torque CW(Release)","90.0 degree","2.782","N-m","90.0","PASS","TwoSided","3.05","2.45"
"S184024","FinalResult","","","","","","PASS","","",""
"BODY_END"
